Building Name,Address,URL,Type,Completion,Title,No. of Floors,Passenger Lift,Cargo Lift,Car Park,Loading Area,Cargo,Management Fee (Approx. per sq. ft.),Ceiling Height(Approx.),Floor Remark,Air Conditioning,Transport,Management Company,Air Conditioning Opening Times,Total Area,Grade,Raised Floor
Tai Ping Ind Ctr (3),53 Ting Kok Road,https://www.midlandici.com.hk/ics/property/building/details/B000059687/Tai-Ping-Ind-Ctr--3-?lang=english,Industrial,1984,Spin-Off,15,,,,,,"@0.7
            (Information: Year 2021)","G/F :5.75M
1/F :5.34M
2-3/F :5.33M
4-15/F :3.5M",Not including Ground Floor,---,,,,,,
Tai Ping Ind Ctr (4),51a Ting Kok Road,https://www.midlandici.com.hk/ics/property/building/details/B000059688/Tai-Ping-Ind-Ctr--4-?lang=english,Industrial,1992,Spin-Off,15,,,,,,"@1.1
            (Information: Year 2019)","G/F: 19 ft 2 in.
1-2/F: 14 ft 1 in.
3-15/F: 11 ft 11 in.",Not including Ground Floor,Independent,,,,,,
Tai Ping Ind Park (a),51 Ting Kok Road,https://www.midlandici.com.hk/ics/property/building/details/B000023761/Tai-Ping-Ind-Park--a-?lang=english,Industrial,1976,Spin-Off,11,1,3,,,,"@0.73
            (Information: Year 2022)",Workshop: 14 ft 6 in.,Not including Ground Floor,,,,,,,
Tai Ping Ind Park (b),51 Ting Kok Road,https://www.midlandici.com.hk/ics/property/building/details/B000059689/Tai-Ping-Ind-Park--b-?lang=english,Industrial,1976,Spin-Off,11,1,3,,,,"@0.73
            (Information: Year 2022)",Workshop: 14 ft 6 in.,Not including Ground Floor and Mezzanine Floor,,,,,,,
Century Industrial Centre,33-35 Au Pui Wan Street,https://www.midlandici.com.hk/ics/property/building/details/B000018375/Century-Industrial-Centre?lang=english,Industrial,1983,Spin-Off,18,1,3,,,,"@0.9
            (Information: Year 2020)","G/F: 20ft 6in
1/F: 18ft
2/F: 18ft
3/F-6/F: 15ft 9in
7/F-18/F: 10ft 4in",Not including Ground Floor,Independent,,九源物業顧問有限公司,,,,
China Resources Shatin Warehouse,36-42 Shan Mei Street,https://www.midlandici.com.hk/ics/property/building/details/B000020637/China-Resources-Shatin-Warehouse?lang=english,Godown,1988,Unified,17,,,,,,"@1.25
            (Information: Year 2022)","Floor 11-15 - 12 ft, 10 in
Floor 6-10 - 12 ft, 10 in
Floor G - 17 ft, 50 in
Floor UG - 17 ft, 90 in
Floor 1-5 - 12 ft, 10 in",Not including Ground Floor and Upper Ground Floor,Independent Split,Close to East Rail Fo Tan Station,Mr. Lee,,,,
Corporation Park,11 On Lai Street,https://www.midlandici.com.hk/ics/property/building/details/B000020502/Corporation-Park?lang=english,Industrial,1996,Unified,21,4,,,,,"@3.60
            (Information: Year 2021)","G/F: 18ft 2in to 24ft 1in
1/F: 17ft 1in
2/F: 13ft 2in
3/F-25/F: 13ft 2in","Not including Ground Floor 
            
               * 4/F, 13/F, 14/F and 24/F Omitted",Water Cooling,Close to MTR Station and Bus,信和,Monday To Friday 08:00 - 18:00Saturday 08:00 - 16:00Sunday  -,,,
Ever Gain Ctr,28 On Muk Street,https://www.midlandici.com.hk/ics/property/building/details/B000019055/Ever-Gain-Ctr?lang=english,Godown,1993,Unified,19,3,9,,,,"@0.82
            (Information: Year 2022)","Floor 16-17 - 14 ft, 9 in
Floor 18-19 - 14 ft, 9 in
Floor 10-15 - 14 ft, 9 in
Floor 9 - 17 ft, 7 in
Floor 8 - 21 ft, 4 in
Floor G - 19 ft, 8 in
Floor 1 - 19 ft, 8 in
Floor 2 - 23 ft, 9 in
Floor 3 - 19 ft, 8 in
Floor 4-7 - 19 ft, 8 in",Not including Ground Floor,Central,,泰喜置業有限公司,,,,
Evergain Bldg (no.3),22 On Sum Street,https://www.midlandici.com.hk/ics/property/building/details/B000066961/Evergain-Bldg--no.3-?lang=english,Godown,1992,Spin-Off,17,3,11,,,,,"Floor 13-17 - 14 ft, 1 in
Floor 5-10 - 15 ft, 5 in
Floor 11-12 - 14 ft, 1 in
Floor 3-4 - 15 ft, 5 in
Floor G - 23 ft, 0 in
Floor 1 - 19 ft, 10 in
Floor 2 - 19 ft, 8 in",Not including Ground Floor,,"MTR Station, Ferry Pier, Bus and Minibus",,,,,
Fo Tan Ind Ctr,26-28 Au Pui Wan Street,https://www.midlandici.com.hk/ics/property/building/details/B000019132/Fo-Tan-Ind-Ctr?lang=english,Industrial,1984,Spin-Off,19,2,6,,,,"@0.7
            (Information: Year 2021)","Floor 12-18 - 11 ft, 5 in
Floor 6-11 - 11 ft, 5 in
Floor G - 15 ft, 1 in
Floor 1-5 - 11 ft, 5 in",Not including Ground Floor,Independent,,港基物業管理有限公司,,,,
Fonda Ind Bldg,37-39 Au Pui Wan Street,https://www.midlandici.com.hk/ics/property/building/details/B000019138/Fonda-Ind-Bldg?lang=english,Industrial,1980,Spin-Off,16,1,2,,,,"@0.96
            (Information: Year 2020)",,Not including Ground Floor,Independent,,佳定集團,,,,
Fu Cheung Ctr,5-7 Wong Chuk Yeung Street,https://www.midlandici.com.hk/ics/property/building/details/B000019225/Fu-Cheung-Ctr?lang=english,Industrial,1983,Spin-Off,16,1,2,,,,"@0.6
            (Information: Year 2021)","1/F-4/F: 17ft 5/8in
5/F-16/F: 11ft 5 6/8in",Not including Ground Floor,Independent,"Close to East Railway Station, Bus and Minibus",,,,,
Goldfield Ind Ctr,1 Sui Wo Road,https://www.midlandici.com.hk/ics/property/building/details/B000019482/Goldfield-Ind-Ctr?lang=english,Industrial,1990,Spin-Off,16,2,8,,,,"@0.7
            (Information: Year 2021)","Floor 12-16 - 10 ft, 8 in
Floor 6-11 - 10 ft, 8 in
Floor 1-5 - 10 ft, 11 in
Floor G - 18 ft, 4 in","Not including Ground Floor 
            
               * 13/F and 14/F Omitted",Independent,,,,,,
Goodman Shatin Logistics Centre 1,6 Wong Chuk Yeung Street,https://www.midlandici.com.hk/ics/property/building/details/B000066957/Goodman-Shatin-Logistics-Centre-1?lang=english,Godown,1982,Spin-Off,12,1,5,,,,"@1.2
            (Information: Year 2021)","Floor 8-12 - 15 ft, 3 in
Floor 4-7 - 15 ft, 3 in
Floor 1-3 - 15 ft, 3 in
Floor G - 15 ft, 0 in
Floor UG - 10 ft, 10 in",Not including Ground Floor and Upper part of Ground Floor,Independent,,,,,,
Goodman Shatin Logistics Centre 2,6 Wong Chuk Yeung Street,https://www.midlandici.com.hk/ics/property/building/details/B000059547/Goodman-Shatin-Logistics-Centre-2?lang=english,Godown,1989,Spin-Off,18,1,6,,,,"@1.13
            (Information: Year 2022)","Floor 13-18 - 15 ft, 3 in
Floor 6-12 - 15 ft, 3 in
Floor 1-5 - 15 ft, 3 in
Floor G - 25 ft, 10 in",Not including Ground Floor and Roof,,,,,,,
Grandtech Ctr,8 On Ping Street,https://www.midlandici.com.hk/ics/property/building/details/B000052951/Grandtech-Ctr?lang=english,Godown,1995,Spin-Off,21,3,6,,,,"@1.1
            (Information: Year 2022)","Floor 17-23 - 10 ft, 7 in
Floor 9 - 17 ft, 0 in
Floor 10-13 - 14 ft, 9 in
Floor 15-16 - 14 ft, 9 in
Floor G - 16 ft, 7 in
Floor 3 - 17 ft, 0 in
Floor 5-8 - 17 ft, 0 in","Not including Ground Floor 
            
               * 4/F and 14/F Omitted",Water Cooling,Bus and Minibus,夏利文物業管理,,,,
Haribest Ind Bldg,45-47 Au Pui Wan Street,https://www.midlandici.com.hk/ics/property/building/details/B000019716/Haribest-Ind-Bldg?lang=english,Industrial,1987,Spin-Off,15,,,,,,"@0.9
            (Information: Year 2019)",,Not including Ground Floor,Independent,,,,,,
Harry Ind Bldg,49-51 Au Pui Wan Street,https://www.midlandici.com.hk/ics/property/building/details/B000019723/Harry-Ind-Bldg?lang=english,Industrial,1986,Spin-Off,16,1,4,,,,"@1.12
            (Information: Year 2020)",,Not including Ground Floor,Independent,,,,,,
Kin Ho Ind Bldg Blk 1,14-24 Au Pui Wan Street,https://www.midlandici.com.hk/ics/property/building/details/B000020783/Kin-Ho-Ind-Bldg-Blk-1?lang=english,Industrial,1981,Spin-Off,17,1,3,,,,"@0.6
            (Information: Year 2020)",,Not including Ground Floor and Mezzanine Floor,Independent,Close to MTR Station and Bus,,,,,
Kin Ho Ind Bldg Blk 2,14-24 Au Pui Wan Street,https://www.midlandici.com.hk/ics/property/building/details/B000059762/Kin-Ho-Ind-Bldg-Blk-2?lang=english,Industrial,1981,Spin-Off,17,1,3,,,,"@0.6
            (Information: Year 2020)",,Not including Ground Floor and Mezzanine Floor,Independent,Close to MTR Station and Bus,,,,,
New Commerce Ctr,19 On Sum Street,https://www.midlandici.com.hk/ics/property/building/details/B000022081/New-Commerce-Ctr?lang=english,Industrial,1994,Spin-Off,17,3,6,,,,"@1.1
            (Information: Year 2021)","Floor 12-19 - 13 ft, 1 in
Floor 6-11 - 13 ft, 1 in
Floor G - 17 ft, 6 in
Floor 2-5 - 13 ft, 1 in
Floor 1 - 16 ft, 8 in","Not including Ground Floor 
            
               *4/F and 14/F omitted",Independent,"Close to Shek Mun MTR Station, Bus and Minibus",康業,,,,
New Trade Plaza Blk A,6 On Ping Street,https://www.midlandici.com.hk/ics/property/building/details/B000022101/New-Trade-Plaza-Blk-A?lang=english,Industrial,1993,Spin-Off,19,2,5,,,,"@1.35
            (Information: Year 2021)","Floor 14-21 - 13 ft, 1 in
Floor 7-13 - 13 ft, 1 in
Floor G - 18 ft, 6 in
Floor 3-6 - 13 ft, 1 in
Floor 1-2 - 18 ft, 0 in","Not including Ground Floor  
            
               *4/F and 14/F omitted",Independent,,康業,,,,
New Trade Plaza Blk B,6 On Ping Street,https://www.midlandici.com.hk/ics/property/building/details/B000022313/New-Trade-Plaza-Blk-B?lang=english,Industrial,1993,Spin-Off,20,2,5,,,,"@1.35
            (Information: Year 2023)","Floor 14-22 - 13 ft, 1 in
Floor 7-13 - 13 ft, 1 in
Floor G - 18 ft, 6 in
Floor 3-6 - 13 ft, 1 in
Floor 1-2 - 18 ft, 0 in","Not including Ground Floor 
            
               *4/F and 14/F omitted",Independent,,康業,,,,
On Ho Ind Bldg,17-19 Shing Wan Road,https://www.midlandici.com.hk/ics/property/building/details/B000022279/On-Ho-Ind-Bldg?lang=english,Industrial,1980,Spin-Off,8,1,2,,,,"@0.8
            (Information: Year 2020)","Floor 5-8 - 13 ft, 9 in
Floor 1 - 18 ft, 0 in
Floor 2-4 - 13 ft, 9 in
Floor G - 20 ft, 2 in",Not including Ground Floor,Independent,"Close to MTR, Bus and Minibus",,,,,
Power Ind Bldg,9-15 Wo Heung Street,https://www.midlandici.com.hk/ics/property/building/details/B000059786/Power-Ind-Bldg?lang=english,Industrial,1977,Spin-Off,13,1,2,,,,"@0.65
            (Information: Year 2020)","Floor 10-13 - 11 ft, 0 in
Floor 5-9 - 11 ft, 0 in
Floor G - 18 ft, 0 in
Floor 1-4 - 11 ft, 0 in",Not including Ground Floor and roof,Independent,,,,,,
Sha Tin Ind Bldg,22-28 Wo Shui Street,https://www.midlandici.com.hk/ics/property/building/details/B000023097/Sha-Tin-Ind-Bldg?lang=english,Industrial,1978,Spin-Off,12,,2,,,,"@1
            (Information: Year 2020)",,Not including Ground Floor,Independent,Close to Fo Tan MTR Station,,,,,
Sha Tin Ind Ctr (a),5-7 Yuen Shun Circuit,https://www.midlandici.com.hk/ics/property/building/details/B000023098/Sha-Tin-Ind-Ctr--a-?lang=english,Industrial,1987,Spin-Off,6,2,3,,,,"@1.3
            (Information: Year 2021)","Floor 3-6 - 15 ft, 5 in
Floor 1 - 15 ft, 7 in
Floor G - 19 ft, 4 in",Not including Ground Floor,Independent,,,,,,
Sha Tin Ind Ctr (b),5-7 Yuen Shun Circuit,https://www.midlandici.com.hk/ics/property/building/details/B000059551/Sha-Tin-Ind-Ctr--b-?lang=english,Industrial,1987,Spin-Off,6,2,3,,,,"@1.3
            (Information: Year 2020)",,Not including Ground Floor,Independent,,,,,,
Sunking Fty Bldg,1-7 Shing Chuen Road,https://www.midlandici.com.hk/ics/property/building/details/B000023646/Sunking-Fty-Bldg?lang=english,Industrial,1980,Spin-Off,7,1,4,,,,"@0.56
            (Information: Year 2020)",,Not including Ground Floor and Upper 1st Floor,,,,,,,
Technology Park,18 On Lai Street,https://www.midlandici.com.hk/ics/property/building/details/B000023948/Technology-Park?lang=english,Industrial,1994,Unified,20,3,6,,,,"@1.76
            (Information: Year 2021)","Floor 16-25 - 12 ft, 6 in
Floor 8-15 - 12 ft, 6 in
Floor 1 - 17 ft, 6 in
Floor 2-7 - 12 ft, 6 in","Not including Ground Floor 
            
              * 4/F, 13/F, 14/F, 24/F Omitted",Independent,Close to MTR Station and Bus,信和,,,,
Topsail Plaza,11 On Sum Street,https://www.midlandici.com.hk/ics/property/building/details/B000024134/Topsail-Plaza?lang=english,Industrial,1995,Spin-Off,15,3,4,,,,"@1.45
            (Information: Year 2021)",,Not including Ground Floor * 13/F and 14/F Omitted,Water Cooling,,,Monday To Friday 08:30 - 18:30Saturday 08:30 - 18:30Sunday  -,,,
Transport City Bldg,1-7 Shing Wan Road,https://www.midlandici.com.hk/ics/property/building/details/B000024142/Transport-City-Bldg?lang=english,Industrial,1981,Spin-Off,9,6,2,,,,"@0.7
            (Information: Year 2020)","Ground Floor: 18ft 4in
1st Floor: 18ft 4in
2nd Floor to 5th Floor: 13ft 8in",Not including Ground Floor,Independent,,,,,,
Unison Ind Ctr,27-31 Au Pui Wan Street,https://www.midlandici.com.hk/ics/property/building/details/B000024373/Unison-Ind-Ctr?lang=english,Industrial,1981,Spin-Off,16,1,2,,,,"@0.8
            (Information: Year 2021)","Floor 11-16 - 14 ft, 11 in
Floor 6-10 - 14 ft, 11 in
Floor 1-5 - 14 ft, 11 in
Floor G - 16 ft, 4 in",Not including Ground Floor,Independent,,JLL,,,,
Universal Ind Ctr,19-25 Shan Mei Street,https://www.midlandici.com.hk/ics/property/building/details/B000024385/Universal-Ind-Ctr?lang=english,Industrial,1982,Spin-Off,17,2,6,,,,"@1.2
            (Information: Year 2021)",,Not including Ground Floor,Independent,,,,,,
Valiant Ind Ctr,2-12 Au Pui Wan Street,https://www.midlandici.com.hk/ics/property/building/details/B000024397/Valiant-Ind-Ctr?lang=english,Industrial,1981,Spin-Off,12,3,8,,,,"@1.1
            (Information: Year 2020)","Floor 8-12 - 10 ft, 10 in
Floor 4-7 - 10 ft, 10 in
Floor G - 17 ft, 0 in
Floor LG - 12 ft, 1 in
Floor 1-3 - 10 ft, 10 in",Not including Lower Ground Floor and Ground Floor,Independent,,康業,,,,
Wah Lai Ind Ctr,10-14 Kwei Tei Street,https://www.midlandici.com.hk/ics/property/building/details/B000024581/Wah-Lai-Ind-Ctr?lang=english,Industrial,1987,Spin-Off,14,1,4,,,,"@1.1
            (Information: Year 2021)","Floor 10-14 - 11 ft, 11 in
Floor 5-9 - 11 ft, 2 in
Floor 1-4 - 11 ft, 2 in
Floor G - 18 ft, 2 in
Floor UG - 15 ft, 1 in",Not including Upper Ground Floor and Ground Floor,Independent,,沙田138管理有限公司,,,,
Wah Lok Ind Ctr (a),37-41 Shan Mei Street,https://www.midlandici.com.hk/ics/property/building/details/B000024588/Wah-Lok-Ind-Ctr--a-?lang=english,Industrial,1989,Spin-Off,22,1,3,,,,"@1.18
            (Information: Year 2020)","Floor 16-22 - 11 ft, 11 in
Floor 8-15 - 11 ft, 11 in
Floor 1-7 - 11 ft, 11 in
Floor UG - 17 ft, 2 in
Floor LG - 19 ft, 8 in",Not including Lower Ground Floor and Upper Ground Floor,Independent,Close to Bus and Minibus,,,,,
Wah Lok Ind Ctr (b),37-41 Shan Mei Street,https://www.midlandici.com.hk/ics/property/building/details/B000059770/Wah-Lok-Ind-Ctr--b-?lang=english,Industrial,1988,Spin-Off,22,1,3,,,,"@0.97
            (Information: Year 2020)","Floor 16-22 - 12 ft, 0 in
Floor 8-15 - 12 ft, 0 in
Floor 1-7 - 12 ft, 0 in
Floor UG - 17 ft, 3 in
Floor LG - 19 ft, 8 in",Not including Lower Ground Floor and Upper Ground Floor,Independent,Close to Bus and Minibus,,,,,
Wah Lok Ind Ctr (c),31-35 Shan Mei Street,https://www.midlandici.com.hk/ics/property/building/details/B000059771/Wah-Lok-Ind-Ctr--c-?lang=english,Industrial,1988,Spin-Off,22,1,3,,,,"@0.97
            (Information: Year 2020)","Floor 16-22 - 12 ft, 0 in
Floor 8-15 - 12 ft, 0 in
Floor 1-7 - 12 ft, 0 in
Floor UG - 17 ft, 3 in
Floor LG - 19 ft, 8 in",Not including Lower Ground Floor and Upper Ground Floor,Independent,Close to Bus and Minibus,,,,,
Wah Lok Ind Ctr (d),31-35 Shan Mei Street,https://www.midlandici.com.hk/ics/property/building/details/B000059772/Wah-Lok-Ind-Ctr--d-?lang=english,Industrial,1988,Spin-Off,22,1,3,,,,"@0.97
            (Information: Year 2020)","Floor 16-22 - 12 ft, 0 in
Floor 8-15 - 12 ft, 0 in
Floor 1-7 - 12 ft, 0 in
Floor UG - 17 ft, 3 in
Floor LG - 19 ft, 8 in",Not including Lower Ground Floor and Upper Ground Floor,Independent,Close to Bus and Minibus,,,,,
Wah Lok Ind Ctr (e),31-35 Shan Mei Street,https://www.midlandici.com.hk/ics/property/building/details/B000059773/Wah-Lok-Ind-Ctr--e-?lang=english,Industrial,1988,Spin-Off,22,1,3,,,,"@0.97
            (Information: Year 2020)","Floor 16-22 - 12 ft, 0 in
Floor 8-15 - 12 ft, 0 in
Floor 1-7 - 12 ft, 0 in
Floor UG - 17 ft, 3 in
Floor LG - 19 ft, 8 in",Not including Lower Ground Floor and Upper Ground Floor,Independent,Close to Bus and Minibus,,,,,
Wah Lok Ind Ctr (f),31-41 Shan Mei Street,https://www.midlandici.com.hk/ics/property/building/details/B000059774/Wah-Lok-Ind-Ctr--f-?lang=english,Industrial,1988,Spin-Off,22,1,3,,,,"@0.97
            (Information: Year 2020)","Floor 16-22 - 12 ft, 0 in
Floor 8-15 - 12 ft, 0 in
Floor 1-7 - 12 ft, 0 in
Floor UG - 17 ft, 3 in
Floor LG - 19 ft, 8 in",Not including Lower Ground Floor and Upper Ground Floor,Independent,Close to Bus and Minibus,,,,,
Wah Wai Ctr,38-42 Au Pui Wan Street,https://www.midlandici.com.hk/ics/property/building/details/B000024631/Wah-Wai-Ctr?lang=english,Industrial,1991,Spin-Off,18,1,4,,,,"@0.9
            (Information: Year 2021)","Floor 12-18 - 13 ft, 1 in
Floor 6-11 - 13 ft, 1 in
Floor 1-5 - 15 ft, 7 in
Floor G - 13 ft, 7 in",Not including Ground Floor,Independent,,合安管理有限公司,,,,
Wah Yiu Ind Ctr,30-32 Au Pui Wan Street,https://www.midlandici.com.hk/ics/property/building/details/B000024645/Wah-Yiu-Ind-Ctr?lang=english,Industrial,1987,Spin-Off,15,2,12,,,,"@0.8
            (Information: Year 2020)","Floor 11-15 - 12 ft, 7 in
Floor 6-10 - 12 ft, 7 in
Floor L02 - 16 ft, 0 in
Floor L03 - 18 ft, 4 in
Floor L01 - 18 ft, 8 in
Floor 1-5 - 12 ft, 7 in",Not including Ground Floor,Independent,,,,,,
World-wide Ind Ctr,43-47 Shan Mei Street,https://www.midlandici.com.hk/ics/property/building/details/B000025174/World-wide-Ind-Ctr?lang=english,Industrial,1987,Spin-Off,15,4,8,,,,"@0.9
            (Information: Year 2023)","G/F: 7.8M
1/F-3/F: 4.8M
4/F-15/F: 3.3M",Not including Ground Floor,Independent,---,,,,,
Yan Hing Ctr,9-13 Wong Chuk Yeung Street,https://www.midlandici.com.hk/ics/property/building/details/B000025214/Yan-Hing-Ctr?lang=english,Industrial,1982,Spin-Off,14,3,6,,,,"@0.9
            (Information: Year 2021)","Floor 10-14 - 10 ft, 3 in
Floor 5-9 - 10 ft, 3 in
Floor G - 18 ft, 7 in
Floor 1-4 - 10 ft, 3 in",Not including Ground Floor and Roof,,Close to Shatin East Rail Station and Bus,Jones Lang,,,,
Cainiao Smart Gateway,,https://www.midlandici.com.hk/ics/property/building/details/B000124940/Cainiao-Smart-Gateway?lang=english,Industrial,,,11,,,,,,"@2
            (Information: Year 2024)","L2-L6 : 8.8M, L7-L11: 11.3M",,---,,,,,,
1 Duddell Street,1 Duddell Street,https://www.midlandici.com.hk/ics/property/building/details/B000018422/1-Duddell-Street?lang=english,Commercial,1983,Unified,24,,,,,,"@8.70
            (Information: Year 2019)",,"G/F - 23/F x 3
平地入口",Central,,HANG LUNG REAL ESTATE MANAGEMENT LTD*,Monday To Friday 08:30 - 19:00Saturday 08:30 - 13:30Sunday  -,,B,
10-12 Pottinger Street,10-12 Pottinger Street,https://www.midlandici.com.hk/ics/property/building/details/B000018407/10-12-Pottinger-Street?lang=english,Commercial,1999,Unified,25,2,,,,,"@6.46
            (Information: Year 2021)",,"G/F - 25/F x 2
平地入口",Central,,DTZ DEBENHAM TIE LEUNG PROPERTY MAN*,Monday To Friday 08:00 - 20:00Saturday 08:00 - 14:00Sunday  -,,B,
100 Queen's Road Central,100 Queen's Road Central,https://www.midlandici.com.hk/ics/property/building/details/B000063697/100-Queen-s-Road-Central?lang=english,Commercial,2006,Unified,29,4,,,,,"@9.20
            (Information: Year 2024)","9'2""-","G/F - 29/F x 4
平地入口",Central,,ISS EAST POINT PROPERTY MANAGEMENT LTD*,Monday To Friday 08:00 - 19:00Saturday 08:00 - 13:00Sunday  -,,B,
128 Wellington Street,128 Wellington Street,https://www.midlandici.com.hk/ics/property/building/details/B000060541/128-Wellington-Street?lang=english,Commercial,1996,Spin-Off,25,2,,,,,"@3.65
            (Information: Year 2019)",,"Not including Ground Floor 
            
               * 4/F, 14/F and 24/F Omitted",Split,,KENWIDE MGT SERVICES LTD,,,B,
181 Queen's Road Central,181 Queen's Road Central,https://www.midlandici.com.hk/ics/property/building/details/B000063699/181-Queen-s-Road-Central?lang=english,Commercial,1998,Unified,28,8,1,,,,"@4.34
            (Information: Year 2024)",8.2 ft,"2/F - 14/F x 4
G/F & 15/F - 28/F x 4
上扶手電梯",Central,"MTR, Ferry, Bus and Tram",URBAN PROPERTY MANAGEMENT LIMITED*,Monday To Friday 08:00 - 19:00Saturday 08:00 - 14:00Sunday  -,"Approx. 353,631 sq.ft.",A,
33 Des Voeux Road Central,33 Des Voeux Road Central,https://www.midlandici.com.hk/ics/property/building/details/B000007683/33-Des-Voeux-Road-Central?lang=english,Commercial,2014,Unified,26,3,1,,,,"@9.60
            (Information: Year 2024)",,"Not including Ground Floor, Mezzanine Floor and Lower Roof Floor 
            
               * 4/F, 13/F, 14/F and 24/F Omitted 
            
               * Refuge area at Lower Roof Floor",Central,,,Monday To Friday 08:00 - 19:00Saturday 08:00 - 14:00Sunday  -,,B,
6 Wilmer Street,6 Wilmer Street,https://www.midlandici.com.hk/ics/property/building/details/B000008325/6-Wilmer-Street?lang=english,Commercial,1996,Spin-Off,26,3,,,,,"@2.90
            (Information: Year 2019)","Ground Floor (Shop): Approx: 15ft to 16ft 2in
1st Floor to 26th Floor: 10ft 4in","斜路入口
G/F - 26/F x 3",Split,MTR,HANG YICK PROPERTY MGT LTD*,,"Approx. 76,225 sq.ft.",B,
8 Lyndhurst Terrace,8 Lyndhurst Terrace,https://www.midlandici.com.hk/ics/property/building/details/B000006989/8-Lyndhurst-Terrace?lang=english,Commercial,1979,Unified,16,2,,,,,"@5.20
            (Information: Year 2022)",,Not including Ground Floor,Split,,JONES LANG LASALLLE MGT SERVICE LTD,Monday To Friday 08:00 - 20:00Saturday 08:00 - 20:00Sunday 00:00 - 00:00,,B,
8 Queen's Road Central,8 Queen's Road Central,https://www.midlandici.com.hk/ics/property/building/details/B000006982/8-Queen-s-Road-Central?lang=english,Commercial,2001,Unified,28,3,1,,,,"@8.11
            (Information: Year 2019)",2.75M,"G/F - 28/F x 3
上扶手電梯",Central,Close to MTR Station,FPD SAVILLS PROPERTY MGT LTD,Monday To Friday 08:00 - 18:00Saturday 08:00 - 14:00Sunday  -,,A,
9 Des Voeux Road West,9 Des Voeux Road West,https://www.midlandici.com.hk/ics/property/building/details/B000020721/9-Des-Voeux-Road-West?lang=english,Commercial,1995,Spin-Off,29,2,1,,,,"@3.40
            (Information: Year 2021)",,"G/F - 16/F x 2
G/F , 17/F-29/F x 2",Central,"MTR, Bus, Tram and Minibus",CMK PROPERTY MANAGEMENT CO LTD*,Monday To Friday 09:00 - 19:00Saturday 09:00 - 13:00Sunday  -,"Approx. 200,000 sq.ft.",B,
9 Queen's Road Central,9 Queen's Road Central,https://www.midlandici.com.hk/ics/property/building/details/B000007653/9-Queen-s-Road-Central?lang=english,Commercial,1992,Spin-Off,34,14,1,,,,@6.66,8.5 ft,"G/F & 4/F - 7/F x 2
G/F & 8/F -16/F x 4
G/F & 17/F - 25/F x 4
G/F & 26/F - 34/F x 4
平地入口",Central,"MTR, Bus, Tram and Bus",JONES LANG LASALLLE MGT SERVICE LTD,Monday To Friday 08:00 - 21:00Saturday 08:00 - 17:00Sunday  -,"Approx. 426,000 sq.ft.",A,
Admiralty Centre Tower I,18 Harcourt Road,https://www.midlandici.com.hk/ics/property/building/details/B000018055/Admiralty-Centre-Tower-I?lang=english,Commercial,1980,Spin-Off,32,8,1,,,,"@4.20
            (Information: Year 2017)",7.9 ft,"Not including Ground floor 
            
               * Refuge floor at 19/F",Central,"MTR, Bus  and Minibus",MTR PROPERTY MANAGEMENT COMPANY LTD*,Monday To Friday 08:00 - 18:00Saturday 08:00 - 13:00Sunday  -,"Approx. 640,000 sq.ft.",A,
Admiralty Centre Tower Ii,18 Harcourt Road,https://www.midlandici.com.hk/ics/property/building/details/B000063488/Admiralty-Centre-Tower-Ii?lang=english,Commercial,1980,Spin-Off,26,6,1,,,,"@4.20
            (Information: Year 2015)",7.9 ft,Not including Ground floor,Central,MTR,MTR PROPERTY MANAGEMENT COMPANY LTD*,,"Approx. 260,000 sq.ft.",A,
Bangkok Bank Building.,28 Des Voeux Road Central,https://www.midlandici.com.hk/ics/property/building/details/B000007657/Bangkok-Bank-Building.?lang=english,Commercial,1971,Spin-Off,19,2,,,,,"@5.0
            (Information: Year 2018)",,"G/F - 14/F x 3
G/F & 14/F - 19/F x 1",Central,Bus,,,,B,
Bank Of America Tower,12 Harcourt Road,https://www.midlandici.com.hk/ics/property/building/details/B000007648/Bank-Of-America-Tower?lang=english,Commercial,1975,Spin-Off,37,12,1,,,,"@4.60
            (Information: Year 2024)",7.9 ft,"Not including Basement, Ground Floor, P Floor, Roof Floor, Upper Roof Floor, U Floor and H Floor",Central,MTR,JONES LANG LASALLLE MGT SERVICE LTD,Monday To Friday 08:30 - 18:30Saturday 08:00 - 14:00Sunday  -,"Approx. 430,000 sq.ft.",A,
Bupa Centre,141 Connaught Road West,https://www.midlandici.com.hk/ics/property/building/details/B000018273/Bupa-Centre?lang=english,Commercial,1990,Spin-Off,24,2,,,,,"@1.76
            (Information: Year 2015)",,"平地入口
G/F - 23/F x 2",Split,"MTR, Bus, Tram and Minibus",GIANT POWER  MANAGEMENT LIMITED*,,,B,
C.m.a. Building,64-66 Connaught Road Central,https://www.midlandici.com.hk/ics/property/building/details/B000018634/C.m.a.-Building?lang=english,Commercial,1983,Spin-Off,27,3,,,,,"@4.30
            (Information: Year 2022)",,"G/F - 27/F x 3
上一級樓梯",Central,,ISS EAST POINT PROPERTY MANAGEMENT LTD*,Monday To Friday 08:00 - 19:00Saturday 08:00 - 13:00Sunday  -,,B,
